STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,51.843,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1992,51.854,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1993,51.854,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1994,51.855,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,51.865,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1996,51.835,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1997,51.796,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1998,51.754,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1999,51.71,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,AFG,Afghanistan,WB_HCP_EMP_2WAP_A,Labor force participation rate (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,51.664,1,One,WB_HCP,Human Capital Project (HCP),0,Units,RATIO,Ratio,602,CCYY,A,Normal value
